happy	행복	5582B
wink	윙크	5574B
joy	즐거움	5924B
excited	기대	6940B
love	사랑	5980B
curious	궁금함	6590B
thinking	고민	5732B
idea	아이디어	6440B
talking	대화중	5952B
sleepy	졸림	5742B
sad	슬픔	6350B
worried	걱정	6524B
shy	수줍음	5896B
celebrate	축하	6502B
greeting	인사	5538B
music	음악듣기	6356B
explore	탐색	6502B
typing	입력중	4898B
waiting	기다림	4866B
quick	빠른응답	5616B
